Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Texto Positivo,Price,ranking,Value,vendas_normalizada
5.8,6.2,7.0,4.8,5.8,6.2,5.8,VOLKSWAGEN,KOMBI,2014,7,"
Pontos positivos: sem emtrada
                                                
Pontos positivos: economia
                                                
Pontos positivos: conforto,dirigibilidade,robustez,custo beneficio,e varios outros que nao caberiam aqui.
                                                
Pontos positivos: muito útil no transporte de pessoas e cargas. boa visão dianteira. por ser um veículo destinado à cargas, é econômico.
                                                
Pontos positivos: simples manutenção, custo beneficio ótimo.
                                                
Pontos positivos: versatilidade de uso; excelente espaço para 9 pessoas com folga; excelente capacidade de carga útil (volumétrica ou pesada); perfeitamente adaptada para uso urbano/off-road, trechos em obras, lombadas, buracos, irregularidades e vias mal cuidadas.
                                                
Pontos positivos: economica,forte,espaçosa,bonita ótima para familia ou trabalho,manutenção barata,peças baratas muito boa mesmo eu não me arrependo de ter comprado,carro ótimo,excelente 
                                                
Pontos positivos: nenhum
                                                
Pontos positivos: preço
                                                
Pontos positivos: manutenção baixa e bem barato as peças e no gnv muito economica
                                                
Pontos positivos: é um veiculo de custo baixo sem concorrestes agil economico
                                                
Pontos positivos: serve para varias funções, principalmente para dividir pedagio.
                                                
Pontos positivos: custo beneficio ótimo
                                                
Pontos positivos: para o dia a dia otima
                                                
Pontos positivos: veiculo em pronto uso , e soh abastecer e trabalhar
                                                
Pontos positivos: um carro todo revisado motor cambio direção tudo novo , parte mecanica nova bem conservado peneus bons um carro muinto bom
                                                
Pontos positivos: e pal para obra
                                                
Pontos positivos: movido a gnv, a economia é exelente, sem contar que a manutenção é bem barata.
                                                
Pontos positivos: cuso x beneficio
                                                
Pontos positivos: otimo
                                                
Pontos positivos: manutenção barata, agil em determinadas atividades, consumobaixo
                                                
Pontos positivos: carga e espaçoso
                                                
Pontos positivos: carro ideal pra quem quer trabalhar com transporte e bem resistente.
                                                
Pontos positivos: pouca manutenção
                                                
Pontos positivos: compre este carro pois ainda nao tenho condição de pergar uma van
                                                
Pontos positivos:  é um carro agradavel,ajuda muito no trabalho......
                                                
Pontos positivos: conforto e praticidade 
                                                
Pontos positivos: cabe toda a familia
                                                
Pontos positivos: manutençao mas simples e barato
                                                
Pontos positivos: eh agil no transito por ser de trabalho.
                                                
Pontos positivos: uso para trabalho.
                                                
Pontos positivos: comodidade econforto para viajar
                                                
Pontos positivos: disponibilidade segurança
                                                
Pontos positivos: é com que trabalho
                                                
Pontos positivos: transporta pessoas e também cargas, bastando retirar os bancos.
manutenção não muito cara com facilidade para encontrar peças.
resistência.
                                                ",36538.0,,0.0,0.0
8.1,8.1,7.6,9.3,8.4,5.8,7.6,LIFAN,320,2012,4,"
Pontos positivos: -design atraente -opcionais -ergonomia -dirigibilidade
                                                
Pontos positivos: alta dirigibilidade, baixíssimo consumo, totalmente equipado, visão boa, pneus não furam, lindo, pequeno por fora e grande por dentro, motor maravilhosamente bem construído.
                                                
Pontos positivos: nao ha
                                                
Pontos positivos: bonito e confortável na cidade. o carro está com 35.00 km e até hoje somente troquei óleo e pastilhas de freio.
                                                
Pontos positivos: bonito ,economico, agil ,e itens de serie realmente uteis e funcionais. se destaca no transito e não tem quem não olhe.
                                                
Pontos positivos: excelente para andar na cidade onde o trânsito e muito intenso. curitiba já foi cidade modelo, hoje porém infelizmente não é mais. o 320 é um ótima ferramenta!
                                                
Pontos positivos: acho bonito!!! quero comprar um.
                                                
Pontos positivos: carro confortável e completo com preço acessivel
                                                
Pontos positivos: conforto interno, dirigibilidade, baixo consumo, design, durabilidade e baixíssimo consumo. na estrada, entre 90 e 110 km, tenho alcançado médias médias entre 16 a 17 km/l.
                                                
Pontos positivos: carro econômico, completo, até agora não tenho reclamações.
                                                
Pontos positivos: ótima aparência, economia, completo por preço de popular! 
                                                
Pontos positivos:  muito bonito....
                                                
Pontos positivos: é bonito.
                                                
Pontos positivos: potência do motor muito boa. é completo de fábrica. preço acessível. econômico.
                                                
Pontos positivos: rodei apenas 1300 km, vejo como ponto positivo a dirigibilidade, traduzida em uma boa posição para dirigir, boa visibilidade e facilidade de realização de manobras. vejo também como ponto positivo o baixo consumo, porém é importante fabricar modelos flex.
                                                
Pontos positivos: sem duvida o estilo, por onde passa chama a atenção!
carro completo, tendo como unico opcional bancos em couro!
                                                
Pontos positivos: fácil dirigibilidade. troca de marchas.um carro com um bom visual. 
                                                ",17098.0,,0.0,0.0
7.1,8.2,6.4,6.4,8.1,4.6,6.8,RENAULT,19,1998,4,"
Pontos positivos: tudo
                                                
Pontos positivos: a cinco anos comprei um rn 19 dois anos depois comprei outro, corro vicia pois é muito bom e quase nada de manutenção, quando falam que as peças são caras, respondo: mas não quebra ! 
                                                
Pontos positivos: é um veiculo confortavel de dirigir principalmente na estrada na minha opnião não é gastão o meu faz na estrada entre 12 a 14 km/l. manutenção quase 0.
                                                
Pontos positivos: design, acabamento, custo x beneficio e consumo de combustivel, tanto urbano como rodoviario,
                                                
Pontos positivos: conforto e durabilidade.
                                                
Pontos positivos: veiculo veloz, motor potente e confortavel com excelente custo beneficio e baixo consumo
                                                
Pontos positivos: bom custo/benefício
consumo
conforto
                                                
Pontos positivos: excelente conforto, estabilidade, durabilidade, esportividade, consumo, presença
                                                
Pontos positivos: economico 
                                                
Pontos positivos: economico
                                                
Pontos positivos: economico
                                                
Pontos positivos: direção hidráulica
conforto
ar condicionado
estofamento original
                                                
Pontos positivos: segurança e desempenho.
                                                
Pontos positivos: e bem confortavel é bem economico  
                                                
Pontos positivos: design excelente
                                                
Pontos positivos: é importado

                                                
Pontos positivos: comfortavel
                                                
Pontos positivos: comprei zero por isso confio na segurança
                                                ",6724.0,,0.0,0.0
7.0,4.7,4.3,5.3,7.7,3.0,6.7,RENAULT,KANGOO EXPRESS,2018,2,"
Pontos positivos: s? mostra o carro e pronto. pre?o para a gente fazer nossas contabilidades nas finan?as ? zero.
                                                
Pontos positivos: maior carga da categoria, porta lateral
                                                
Pontos positivos: desempenho e ergonomia muito bons, veiculo gostoso de dirigir.
                                                
Pontos positivos: o mais bonito da categoria
                                                
Pontos positivos: confortável e relativamente econômico
                                                
Pontos positivos: excelente carro para trabalho
                                                
Pontos positivos: segurança. potência. economia.
amplo espaço para carga.
ar condicionado esfria bem.
visual bonito.

                                                
Pontos positivos: desempenho do motor, muito bom.
alegria na hora de abastecer (hi-flex).
                                                ",55800.0,,0.0,0.0
6.2,6.2,5.1,6.9,7.2,4.1,6.8,FIAT,DUCATO,2018,3,"
Pontos positivos:

Pontos positivos: motor forte,economico,confortavel de dirigir
                                                
Pontos positivos: o carro tem boa performance, pois anda bem mesmo com lotação esgotada. trabalho com transporte escolar e mesmo com 20, 27 alunos mais eu e a monitora, o carro mesmo em subidas tem força e velocidade o suficientes para seguir adiante e com velocidade compatível.
                                                
Pontos positivos: bom espaco no furgao
                                                
Pontos positivos: so traz manutencao!
                                                
Pontos positivos:

Pontos positivos: muito bom motor
                                                
Pontos positivos:

Pontos positivos: 
motor muito fraco de morro acima, minha outra 2.8dti da um schow, com 25.000 km ja deu problemas nas valvulas, pois nao sei pra que 16valvulas,mas em fim, prefiro minha 2,8dti

                                                
Pontos positivos: ela e muito bonita e confortavel
                                                
Pontos positivos: robusto, economico, espaço interno conforto
                                                
Pontos positivos: espaço interno muito bom,carro muito agil.
                                                
Pontos positivos: capacidade de carga
                                                
Pontos positivos: veiculo muito bom para o meu serviço
                                                ",108500.0,,0.0,0.0
6.3,8.7,8.7,5.7,7.0,8.7,6.3,CHEVROLET,CHEVETTE HATCH,1987,0,,5263.0,,0.0,0.0
7.4,7.0,7.0,7.6,7.6,5.8,6.6,MAZDA,MX-3,1998,0,,14534.0,,0.0,0.0
6.0,3.5,2.0,8.3,6.3,2.5,6.3,FORD,RANGER (CABINE SIMPLES-ESTENDIDA),2019,7,"
Pontos positivos: veículo versátil, bonito, ótimo desempenho, caçamba enorme, ótimo custo benefício, é uma pena terem parado de fabricar.
                                                
Pontos positivos: veículo gostoso de dirigir, responde bem aos comandos do motorista. o design é bonito e a visibilidade é boa, principalmente por causa do tamanho dos retrovisores. caçamba gigante, pode levar quase tudo nela! espaço interno bom, só que a ford poderia ter feito com acento para três pessoas, aquela coluna central ficou simplória demais e sem utilidade.
                                                
Pontos positivos: dirigibilidade e visão. ótimo para andar na cidade, estrada e campo.
                                                
Pontos positivos: bonito, carroceria espaçosa. 
                                                
Pontos positivos: design e conforto
                                                
Pontos positivos: simplesmente nao quebra, conforto e itens de serie que hoje em dia sao opcionais de luxo.
                                                
Pontos positivos: aparência. só.
                                                
Pontos positivos: design,dirigibilidade,visao, altura,forca
                                                
Pontos positivos: design, performance , conforto
                                                
Pontos positivos: o preço.
                                                
Pontos positivos: è um carro completo, nao falta um opcional e por gasolina e andar, otimo consumo em rodovia e cidade, anda feito o diabo fugindo da cruz.
                                                
Pontos positivos: passa uma seguranca em em dirigir,carro alto
                                                
Pontos positivos: é um carro de baixa manuntenção muito boa
                                                
Pontos positivos: um verdadeiro jumento bravo, pau pra toda obra, seu concorrente direto parece um cavalinho frouxo (s-10, tive uma uma completa até com couro, super confortável e boa dirigibilidade.
                                                
Pontos positivos: força e durabilidade
                                                
Pontos positivos: conforto, segurança, acabamento, acessórios.
                                                
Pontos positivos: capacidade de carga
potência
design
                                                
Pontos positivos: é um excelente carro
                                                
Pontos positivos: conforto
potencia
design
acabamento
espaço
prazer ao dirigir
estabilidade
                                                
Pontos positivos: pq é a diesel
                                                
Pontos positivos: carro muito resistente , facil dirigibilidade e seguro.
                                                
Pontos positivos: espaço
                                                
Pontos positivos: 
 e um carro para o meu trabalho
                                                
Pontos positivos: robusto
resistente
bonito
macio

                                                
Pontos positivos: carro confortavel, de valor acessivel 
                                                
Pontos positivos: conforto, espaço, potência.
                                                
Pontos positivos: confortável,silencioso.
                                                
Pontos positivos: completo de tudo, ar, direção, rodas, vidros e travas elétricos, piloto automático, ótima performance, alta potencia, seguro, um carro excelente.
                                                
Pontos positivos: vários itens de série como o abs e air bag são muito bons e para revender é muito fácil.
                                                
Pontos positivos: durabilidade do motor
conforto
potencia
estabilizade

                                                
Pontos positivos: - potência;
- conforto;

                                                ",124200.0,,0.0,0.0
5.0,9.0,10.0,10.0,8.0,10.0,6.0,SUZUKI,SAMURAI,1999,2,"
Pontos positivos: excelente para passeios, principalmente com capota arriada. é alto, econômico e bonito. muito valente em trilhas.
                                                
Pontos positivos: excelente para lameiro pesado(off-road)
bastante robusto
80% da manutenção nacionalizada
consumo razoável na gasolina.
aconômico com gnv quando adaptado.


                                                
Pontos positivos: uso off road sem igual para veiculos com a minima preparação necessária, consumo de combustivel em torno de 8km/l de gasolina na cidade.
                                                
Pontos positivos: é um 4x4 diferente dos demais pois foi feito pra qualquer tipo de lugar(barro areia. aguenta tudo e um grande companheiro p/ suas aventuras
                                                
Pontos positivos: o carro vai mesmo a qualquer lugar.difícil quebra.valorização na venda.o carrinho é um show
                                                
Pontos positivos: vai a qualquer lugar
                                                ",21895.0,,0.0,0.0
4.7,6.5,6.0,4.3,4.0,5.7,5.0,FIAT,147,1987,4,"
Pontos positivos: o meu é da 1º versão brio rallye 1300 (nem tem essa opção no site) e é muito bonito, estabilidade fora do comum, freio excelentes, arrancada vigorosa, direção bem direta nas reações, embreagem macia, tamanho ajuda nas manobras assim como chama muita atenção na rua. 
                                                
Pontos positivos: nao vejo nenhum.
                                                
Pontos positivos: consome pouca gasolina, quebra pouco
                                                
Pontos positivos: tive dois um 78 e 80 eram fantasticos (em relação aos de sua época) eram duráveis, confiáveis(zero de manutenção)bom espaço interno, estabilidade inimaginável, acabamento simples e sem problemas de ruídos. duro como um kart por isto mesmo dava a sensação de um carro esportivo.
                                                
Pontos positivos: veiculo repintado, motor foi feito inteiro, zero km. estofamento novoe carpetes novo e na cor marron, pneus e rodas zero km.
                                                
Pontos positivos: pequeno, econômico, simpático 
                                                
Pontos positivos: motor
                                                
Pontos positivos: não precisa fazer seguro economia
                                                
Pontos positivos: o meu spazio cls foi comprado em perfieto estado!. ele é econômico cabe em qualquer lugar e é uma tendência mundial(carros pequenos) atende as propostas de um pequeno auto.  
                                                
Pontos positivos: super economico bixicima manutenção principaumente quendo comparado a modelos novos 
                                                
Pontos positivos: oito
                                                
Pontos positivos: espaço,digiribilidade,economia
                                                
Pontos positivos: acho muito bonito, um clássico nacional, muito marcante! e, para a época, bem acabado, um bom conjunto.
                                                
Pontos positivos: é um carro de 22 anos, difícil encontrar um ponto positivo para ele.
                                                
Pontos positivos: por se tratar de um carro de 22 anos não se tem pontos positivos a serem relacionados.
                                                
Pontos positivos: mesmo que velhinho me salva!!heheehhe 
                                                
Pontos positivos: acho que ninguem quer roubar
todo mundo olha quando passo dirigindo
                                                ",2442.0,,0.0,0.0
8.4,6.6,7.2,7.2,8.2,7.2,7.6,FORD,MONDEO WAGON,1999,0,,10402.0,,0.0,0.0
7.6,9.0,8.4,7.5,8.5,8.0,8.0,VOLKSWAGEN,GOL,2019,7,"
Pontos positivos: carro muito valente apesar de ser 1.0 mas muito ?gil..
                                                
Pontos positivos: ele ? muito econ?mico

                                                
Pontos positivos: pra mim todos ele esta positivo.
                                                
Pontos positivos: super economico
                                                
Pontos positivos: o carro esta com um cobsumo excelente no etanol 
                                                
Pontos positivos: baixo consumo
                                                
Pontos positivos: pneus novos rodas esportivas aro 14 do santana ?ltima gera??o far?is de led dvd am/fm e pendrive limpador traseiro bancos originais sem reparos por fazer e kit gnv alarme p?sitron
                                                
Pontos positivos: conforto, economia
                                                
Pontos positivos: foi reformado, tem rodas de liga leve e far?is de lebrina 
                                                
Pontos positivos: estabilidade boa. consumo bom faz at? 18 km na estrada .mec?nica sem problemas e c?mbio excelente

                                                
Pontos positivos: carro esta perfeito.  carro de mulher, conservado e dirigido por mulher. completo . muito econ?mico.
                                                
Pontos positivos: coracao tinindo
                                                
Pontos positivos: ?gil econ?mico muito bonito
                                                
Pontos positivos: est? tudo funcionando.
                                                
Pontos positivos: motor  e cambio
                                                
Pontos positivos: carro nunca foi batido, e de 1 ?nico dono.
                                                
Pontos positivos: manuten??o barata e quase n?o d? 
                                                
Pontos positivos: ?timo carro para o consumo 
                                                
Pontos positivos:

Pontos positivos:

Pontos positivos: performance dirigibilidade resist?ncia 
                                                
Pontos positivos: todos  positivos!
                                                
Pontos positivos: nenhum!
                                                
Pontos positivos: perfeito dia dia
                                                
Pontos positivos: boa dirigibilidade, baixo consumo de combust?vel,  anda bem apesar de ser 1.0,  e a cor ajuda bem prata, boa entrada das marchas sem comprometer o desempenho.
                                                
Pontos positivos: motor ap, manuten??o, robusto, econ?mico, bonito, forte e jovial.
                                                
Pontos positivos: 6
                                                
Pontos positivos: facilidade de manuten??o, pe?as originais f?ceis de encontrar, mec?nica simples, carro bom pro dia dia e estrada.
                                                
Pontos positivos: algumas coisinhas para fazer mas nada de mais.
                                                
Pontos positivos: gnv,ar condicionado, dire??o hidr?ulica, 4 portas ,trava, alarme etc.
                                                
Pontos positivos: muito potente e confort?vel 
                                                
Pontos positivos: carro muito econ?mico 
                                                
Pontos positivos: popular, ?timo em revenda, bom consumo, manuten??o barata
                                                
Pontos positivos: gol, g5 cor prata, com 57.458 km,dire??o hidr?lica,4 portas,segundo dono,4 pneus novos,revis?o feita em conssecion?ria,farol de neblina, comp. de bordo,rd.am/fm,blutuf,entr.usb,entr.para cart?o,saida 12 volts,controle de som no volante,aro 185,sensor de estacionamento trazeiro,vidros el?tricos dianteiro,pisca no espelho externo,correia dentada trocada...etc..
                                                
Pontos positivos: barato
                                                ",44990.0,5.0,32.512,0.3627761660343673
