Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Texto Positivo
"9,5","8,8","8,2","8,5","9,0","7,8","9,2",Land Rover,Range Rover Vogue,2018,2,"
Pontos positivos: conforto, dirigibilidade, e equipamentos muito bons
                                                
Pontos positivos: vur
                                                
Pontos positivos: lindo, confortável, espaçoso
                                                
Pontos positivos: confortável, pode colocar blindagem que o veículo fica firme e seguro.
                                                
Pontos positivos: bonito confortavel e muito chique
                                                "
"10,0","9,0","9,8","10,0","10,0","9,8","9,2",Citroën,C5,2012,4,"
Pontos positivos: todos
                                                
Pontos positivos: suspens?o acabamento desaine conforto excelente.
                                                
Pontos positivos: o carro é muito bom mesmo são poucos os modelos de outras marcas que chegam a seus pés, sem custarem 5x mais
                                                
Pontos positivos: excelente veiculo.
recomendo a marca.
                                                
Pontos positivos: conforto, silêncio , estabilidade, design, acabamento.
                                                "
"9,5","9,0","9,5","9,5","9,5","9,5","9,0",Suzuki,Jimny,2019,4,"
Pontos positivos: ele cabe em qualquer lugar
                                                
Pontos positivos: estou muito satisfeito com o meu jimny 4sport. excelente veículo, para quem deseja um of road, com bom nível de conforto no uso urbano. 
excelente nas curvas, fácil de estacionar e muito econômico.
                                                
Pontos positivos: excelente nas curvas devido a aderência dos pneus mud. alta resistência para enfrentar buracos das nossa ruas dentro das cidades.
                                                
Pontos positivos: o melhor carro do segmento, imbatível
                                                
Pontos positivos: excepcional para estradas de terra e terrenos difíceis e no dia a dia na cidade. baixa manutenção. não quebra.
                                                "
"9,7","8,5","9,4","9,4","9,6","9,1","9,2",Fiat,Linea,2016,7,"
Pontos positivos: conforto e dirigibilidade. porta malas espetacular, robusto.
                                                
Pontos positivos: dirigibilidade e conforto 
                                                
Pontos positivos: o e-torq 1.8 flex trabalha muito bem com o dualogic em altas rotações, o consumo na cidade é proporcional, na estrada compensa. se comparados com correntes, ganha em acessórios pela faixa de preço. 
                                                
Pontos positivos: consumo, desing, acabamento, preco de pe?as
                                                
Pontos positivos: è confortável, lindo e espasoso
                                                "
"9,0","7,8","7,9","9,8","9,5","7,0","8,5",Fiat,500,2017,4,"
Pontos positivos: seminovo, 25 mil km rodados
                                                
Pontos positivos: por ser um carro bom de dirigir e estacionar.
                                                
Pontos positivos: carro super ágio, confortável, som perfeito, a cor branco perolizado é uma cor muito linda! um carro que chama muita atenção por onde passa. consumo relativamento bom, faço 12.5 na cidade e na estrada já cheguei fazer 15.5!
                                                
Pontos positivos: bom de dirigir e melhor pra estacionar. uma delicia com a capota abaixada.
                                                
Pontos positivos: 1.4 turbo - 0-100 em 6,9 segundos, carro muito divertido, pronto para brincar.
                                                "
"9,3","8,2","9,2","9,2","9,7","9,3","8,8",Hyundai,HB20X,2019,6,"
Pontos positivos: dire??o, seguran?a e conforto.
                                                
Pontos positivos: câmbio (6 m), estabilidade, consumo.
                                                
Pontos positivos: todos os itens 
                                                
Pontos positivos: um carro bom em tudo.
                                                
Pontos positivos: dirigibilidade; conforto; ar digital
                                                "
"9,0","8,3","8,2","9,1","9,2","8,0","10,0",Peugeot,308,2019,7,"
Pontos positivos: motor thp potente e econômico flex design exterior e interior chama a atenção acabamento é agradável ao toque
                                                
Pontos positivos: consumo, estilo, manutenção, conforto, espaço.
                                                
Pontos positivos: dirigibilidade, motor, cambio, seguran?a.
                                                
Pontos positivos: design bonito, acabamento interno premium, econômico, motor ágil e muito esperto. bom espeço interno, porta-malas grande.
                                                
Pontos positivos: econômico, estiloso, espaçoso, confortável, completíssimo, pós-venda, seguro.
                                                "
"9,7","9,0","10,0","8,8","10,0","7,8","10,0",Subaru,Forester,2018,5,"
Pontos positivos: excelente carro. ja tive jetta e não sinto saudades. motor, cambio, espaço, conforto.
tudo nele é excelente.
                                                
Pontos positivos: motor boxer 2.0 turbo 240cv excepcional, suspensão perfeita, bem conduzido o consumo é muito bom, retomada sem comentários, dirigibilidade sem igual. custo benefício dos melhores.
                                                
Pontos positivos: dirigibilidade, awd, espaço interno, cambio cvt, consumo honesto.
                                                
Pontos positivos: nunca mais quero outro carro. forte, muito bem acabado, excelente dirigibilidade. me tirou de uma enchente no rio de janeiro, de maneira brilhante. esse é o carro.
                                                
Pontos positivos: performance,conforto,direçao
                                                "
"9,8","7,2","9,8","9,8","9,8","9,0","9,8",Peugeot,307 SW,2009,2,"
Pontos positivos: bom acamento, instrumenos e versatil, teto panoramico, e robusto
                                                
Pontos positivos: peugeot sempre foi o último da minha lista quando o assunto era trocar de carro. quando andei pela primeira vez com este carro, mudei meus conceitos. estável, forte demais, câmbio muito suave (igual aos da ford), pacote tecnológico que nem o jetta tem. (isso que o jetta custa 4 vezes mais que o 307). e o melhor de tudo... é muito barato. vale a pena.
                                                
Pontos positivos: tudo!!! o carro é bonito por dentro e por fora, super seguro, confortável, bem planejado em seus mínimos detalhes, ao volante o motorista tem controle de vários opcionais do veículo, rádio, ar-condicionado, todos os vidros, travamento de portas e vidros,o teto panorâmico faz qualquer viajem virar um deslumbre,o conforto interno, a acústica do veículo é sensacional, o radio toca até 6 cd's direto, capacidade de carga, luzes, freios, visibilidade são perfeitos, o cambio no modo automático é sensacional e no modo manual é nota 10, com respostas rápidas, conforto, praticidade, segurança totais, desempenho, baixo custo de manutenção, design, dirigibilidade excelente, em minha opinião, nunca dirigi um carro tão bem projetado, a peugeot está de parabéns é o carro mais fácil e simples pra dirigir que conheci.
                                                
Pontos positivos: não tem nem muito que se falar. tudo nela é bom. conforto, prazer em viajar. espaço. consumo um pouco alto na cidade(em torno de 8km/l, porém na estrada não há o que reclamar.
                                                
Pontos positivos: conforto e a quantidade de equipamentos oferecidos surpreende. carro muito completo e de estilo atual. o cambio automático da porche é um item que não pode ser deixado de ser comentado pois possui inclusive bloqueio de diferencial e modo para neve que em situações de lama, ajuda muito.
                                                "
"8,9","8,1","8,7","9,7","9,1","8,7","9,2",Jac,T6,2016,4,"
Pontos positivos: carro incrível
                                                
Pontos positivos: design, dirigibilidade, potência, estabilidade
                                                
Pontos positivos: design, dirigibilidade, potência, estabilidade
                                                
Pontos positivos: design-conforto
                                                
Pontos positivos: altamente confortável de se dirigir
                                                "
"8,5","8,7","9,0","7,9","9,1","8,8","8,7",Toyota,Etios Hatch,2019,7,"
Pontos positivos: - dirigibilidade, consumo, c?mbio autom?tico, praticidade, robustez, atendimento do p?s venda, qualidade do projeto.
                                                
Pontos positivos: dirigibilidade, espa?o interno, tamanho por fora ( estaciona f?cil em qualquer lugar), conforto, seguran?a, c?mbio autom?tico suave e preciso, enfim... muitos outros atributos.
                                                
Pontos positivos: o carro que aluguei tinha controle de tracao e estabilidade
                                                
Pontos positivos: econômico 
                                                
Pontos positivos: econômico 
                                                "
"9,1","9,1","9,1","9,6","9,4","9,0","9,1",Peugeot,208,2019,7,"
Pontos positivos: motor com bom torque em baixas rotações. não parece ter 90 cv. muito ágil e econômico.
                                                
Pontos positivos: rápido, ágil, ótimo acabamento, muitos acessórios que já vêm embutidos no carro
                                                
Pontos positivos: economia e dirigibilidade
                                                
Pontos positivos: a economia surpeende,posição de dirigir maravilhosa....
                                                
Pontos positivos: conforto, dirigibilidade, central multim?dia com gps, sensor de estacionamento dianteiro. painel sem fios usb dependurado. c?mbio at 4 marchas.
                                                "
"10,0","10,0","10,0","10,0","10,0","10,0","10,0",Jac,J5,2016,3,"
Pontos positivos: ótimo custo/benefício, design show de bola digno de um veículo executivo, confortável e ótimo para estrada levando em consideração comsumo de combustível, dirigibilidade e conforto!
                                                
Pontos positivos: veículo completo, com vários itens de série
                                                
Pontos positivos: estou satisfeito com o j5, um carro muito bonito, confortável e com mecânica confiável. comprei meu j5 em novembro de 2012 e o mesmo nunca me deixou na mão. além disso, a garantia é de 6 anos, bem acima das outras marcas.
                                                
Pontos positivos: espaçoso,econômico e gostoso de dirigir, além de uma estabilidade muito boa com pneus de perfil baixo .
                                                
Pontos positivos: o carro é mais bonito que muitos sedans do nosso mercado;
carro justo;
bom espaço interno.
                                                "
"9,3","9,0","9,2","9,9","9,7","8,5","9,6",Ford,New Fiesta Sedan,2017,7,"
Pontos positivos: design espetacular, chama atenção por onde passa. carro bastante disposto e confortável. muito prazeroso de dirigir!
                                                
Pontos positivos: belo design, bancos confortáveis, espaço muito bom do porta malas, bom sistema multimidia
                                                
Pontos positivos: confort?vel.. presen?a estiloso
                                                
Pontos positivos: pouco uso tenho outros ve?culos modelo glass
                                                
Pontos positivos: além de muito estilo, o carro tem potência (triscou já está em 120, os 115cv trabalham), ótimo consumo (o meu chega a fazer 12km/l urbano, 16km/l rodovia se moderar o pé, 1.6 com média de 1.0), segurança (7 airbags), abs e a estabilidade nas curvas passa bastante segurança. sem contar os mimos como direção elétrica dinâmica, bancos em couro, acabamento emborrachado no painel e acolchoado nas portas, retrovisor elétrico. muito macio e silencioso.
                                                "
"9,2","8,6","9,2","9,2","9,4","9,0","9,2",Hyundai,Azera,2017,7,"
Pontos positivos: carro ? muito bom, no geral 
                                                
Pontos positivos: o máximo em conforto e potência
                                                
Pontos positivos: estabilidade 
                                                
Pontos positivos: forte, confortavel, chama muita aten??o por onde passa.
                                                
Pontos positivos: boa noite ,eu tinha um azera 2009 ,mais dia 25 janeiro fui assalto no rio e levaram o meu carro,e era carro de viajar com a minha m?e, porque a minha m?e,tem problema no joelho ,e  a idade dela 87anos , n?o pode viajar sozinha,e este carro foi ideal ,para ela muito bom ,
                                                "
"8,8","9,0","9,5","9,2","9,8","9,0","9,8",Chevrolet,TrailBlazer,2019,2,"
Pontos positivos: excelente motor e desempenho testei a sw4 que ficou muito inferior em motor
                                                
Pontos positivos: dirigibilidade,espaço interno,suspençao fantastica muito confortavel ,nem parece que vc esta em uma derivada de pik-up,muito ecônomica na cidade 8.8 e na estrada esta fazendo 12.5 andando a 120 ,130 isso com 2000 mil giro do motor,pq o motor e um cavalo.
                                                
Pontos positivos: segurança, visibilidade, espaço, conforto. etc.
                                                
Pontos positivos: motor muito potente, espaço interno, dirigibilidade ótima, consumo bom, bancos da terceira fileira rebatível.
                                                
Pontos positivos: performace e o conforto sao surpreendentes
                                                "
"9,1","9,1","8,9","9,6","9,5","8,7","8,1",Nissan,Kicks,2019,7,"
Pontos positivos: tudo novo 
                                                
Pontos positivos: design e dirigibilidade
                                                
Pontos positivos: carro muito completo e gostoso de dirigir. transmite muita seguran?a. 
n?o acredito que exista op??o melhor na categoria, mesmo por pre?o mais elevado. 
                                                
Pontos positivos: carro econômico, estiloso, moderno,porta malas grande. 
                                                
Pontos positivos: desing, conforto, acabamento
                                                "
"8,9","8,9","9,1","9,8","9,0","8,6","9,0",Geely,EC7,2014,2,"
Pontos positivos: preço, design, estabilidade, mecânica, porta-malas imenso, bancos de couro, vários porta objetos, ar digital...
                                                
Pontos positivos: design, itens de segurança, motorização, suspensão, freios, espaço interno e do porta-malas, conforto, ar digital, sensor de luz para os faróis, lanternas em led, bancos de couro, central multimídia completa (oferecida pela geely sun motors, porto alegre).
                                                
Pontos positivos: confortável, espaçoso, boa dirigibilidade, bonito e com um ótimo porta-malas.
                                                
Pontos positivos: carro sensacional, ótimo motor e suspensão macia, está com 12.000 km e nunca me deu nenhum problema
                                                
Pontos positivos: motor 1.8 16v fornecido pela toyota,ótima suspensão, acabamento interno muito bom, porta malas bastante espaçoso. revisões a preço fixo e baratas. pós venda muito bom, sem queixas do carro.
                                                "
"9,3","8,0","8,9","9,9","9,1","9,0","9,1",Kia,Optima,2016,2,"
Pontos positivos: visual, acabamento, conforto e motor
                                                
Pontos positivos: todos...
                                                
Pontos positivos: designer, motor, câmbio, conforto e muito mais...
                                                
Pontos positivos: lindo, o carro voa, sem igual no mercado brasileiro,
para quem gosta de chamar a atencao 
                                                
Pontos positivos: lindo, bonito
                                                "
"9,2","8,4","9,5","9,7","9,7","8,7","8,8",Peugeot,2008,2019,7,"
Pontos positivos: economia.
                                                
Pontos positivos: dire??o el?trica, dirigibilidade muito boa, conforto e economia. carro complet?ssimo. n?o falta nada.
                                                
Pontos positivos: para pcd veio completinho, menos roda, boa dirigibilidade e conforto, carro expressivamente alto por ser uma mini suv.
                                                
Pontos positivos: tecnologia, dirigibilidade, conforto, teto panorâmico, portamalas, custo benefício.
                                                
Pontos positivos: design lindo, dirigibilidade ótima, não teve nenhuma manutenção, ainda.
                                                "
"10,0","9,8","10,0","10,0","10,0","9,8","10,0",Audi,TT,2018,0,"
Pontos positivos: tudo
                                                
Pontos positivos: tudo
                                                
Pontos positivos: o carro é quase perfeito.
                                                
Pontos positivos: design, conforto, tecnologia e dirigibilidade
                                                
Pontos positivos: bonito 
                                                "
"10,0","10,0","10,0","9,7","10,0","9,3","10,0",BMW,X5,2018,2,"
Pontos positivos: design, conforto, impon?ncia e dirigibilidade do mais alto nivel
                                                
Pontos positivos:

Pontos positivos: o carro e perfeito,tem todos os opcionais de fabrica, é o mesmo carro que andei na alemanha.
                                                
Pontos positivos: o carro é perfeito. o acabamento é impecável. o consumo, ótimo. é realmente imponente.
                                                
Pontos positivos:
"
"9,2","9,0","9,5","9,8","9,5","9,0","9,8",BMW,X1,2019,3,"
Pontos positivos: aguardei um tempo após a compra para comentar. somente pontos positivos. o carro é excelente, confortável, espaçoso. a versão de entrada já é contêm todos os items importantes. o modo sport é espetacular na estrada.
                                                
Pontos positivos: bonito, super econ?mico 8 km/l na cidade e 14km/l na estrada andando manso. ?timo acabamento,silencioso, ?timo de dirigir, estabilidade inigual?vel e seguran?a
                                                
Pontos positivos: design moderno e arrojado. econômico.
                                                
Pontos positivos: anda bem, bom de dirigir, consumo baixo na gasolina, boa conectividade entre celular e o carro.
                                                
Pontos positivos: visual ficou mais parecido com os outros da serie x, acabamento interno muito bom, motor muito potente e econômico, visual mais superior do que das antigas, amplo porta malas, sistema concierge, botão sós, chip com internet do próprio carro, consumo muito bom com gasolina (ainda mais por se tratar de um 2.0), excelente para viagens e uso na cidade, aro das rodas é preto. o seguro do carro é, inacreditavelmente, mais barato do que o hyundai ix-35, possui 6 airbags
                                                "
"9,0","9,7","8,3","9,3","9,7","5,7","10,0",MINI,Cooper,2018,2,"
Pontos positivos: carro muito confortável, agil e divertido
                                                
Pontos positivos: veículo excelente! rápido e muito gostoso para dirigir.
                                                
Pontos positivos: muito bom para o segundo carro
                                                
Pontos positivos: motor ótimo
                                                
Pontos positivos: automóvel maravilhoso! ágil, muito bem equipado, motor sensacional! tudo de bom!
                                                "
"9,2","9,5","9,3","9,8","9,8","9,2","9,6",Audi,A3 Sedan,2018,5,"
Pontos positivos: potencia / dirigibilidade / consumo
                                                
Pontos positivos: consumo, design, dirigibilidade 
                                                
Pontos positivos: excelente carro, econômico e anda muito!!!
                                                
Pontos positivos: é inacreditável como é econômico. motor muito bom e potente quando é exigido. silencioso e muito confortável.
                                                
Pontos positivos: design dirigibilidade consumo fantástico ótimo som conforto
                                                "
"9,5","8,5","9,1","9,6","9,6","8,5","9,4",Renault,Fluence,2018,7,"
Pontos positivos: melhor custo/benefício da categoria. conforto. segurança.
                                                
Pontos positivos: conforto e desempenho
                                                
Pontos positivos: conforto e desempenho
                                                
Pontos positivos: tamanho, dirigibilidade, estabilidade, muito silencioso, boa performance, o mecânico faz 9,5 km/l alcool na estrada e 12,8 na gasolina
                                                
Pontos positivos: conforto, n?o precisa da chave para nada, muito silencioso, multimidia, banco em coro.
                                                "
,,,,,,,Toyota,Camry ,2019,2,"
Pontos positivos: carro estiloso, bonit?o, chama aten??o por onde passa, ?tima acelera??o e retomada, seguro tanto em baixa como em alta velocidade, ? preciso ficar esperto no veloc?metro pois ele camufla a velocidade, ?tima estabilidade, silencioso, n?o d? manuten??o, meu carro est? com 70.000 km sem trocar nenhuma pe?a. o consumo para um v6 de 284 cv n?o ? ruim fazendo 9-10 km/litro na cidade e 11-12 km na estrada. carro ideal para longas viagens no asfalto. voc? viaja , viaja e n?o se cansa. ? muito prazeiroso dirig?-lo. ?timo porta malas.
                                                
Pontos positivos: tudo
                                                
Pontos positivos: inigualável conforto. segurança. estabilidade, posição de dirigir, conforto para os passageiros e presença assegurada.
                                                
Pontos positivos: segurança, conforto, silencio, potencia. ar condicionado com sistema ion e de umidificador do ambiente, não ressecando as narinas e os bancos de couro.
                                                
Pontos positivos: motor forte e segurança
                                                "
"8,7","9,3","8,5","9,8","9,9","8,5","9,7",Citroën,DS3,2014,2,"
Pontos positivos: excelente carro, conforto, muito rápido,consumo tá fazendo 10 km/l a gasolina na cidade e 20 km/l de gasolina na estrada.chama muito atenção eu passo com o carro.excelente compra que fiz.estou gostando muito do carro,recomendo a compra do ds3 vc não vai se arrepender...
                                                
Pontos positivos: design, desempenho, consumo e estabilidade.
                                                
Pontos positivos: carro com excelentes performance e acabamento.
                                                
Pontos positivos: veículo que não passa desapercebido,muito bem acertado para sua proposta, alem de exceder expectativas em desempenho e consumo.
                                                
Pontos positivos: desempenho incrivel, dirigibilidade excelente, consumo muito bom para um carro esportivo. melhor ainda, desvaloriza bastante, então o semi novo torna-se uma excelente opção. design diferenciado, se não bonito. seguro ok. 
                                                "
"8,9","9,1","9,1","9,2","9,8","9,1","9,2",Volkswagen,Virtus,2019,2,"
Pontos positivos: carro muito economico, com muito boa dirigibilidade e com ótima aceleração para 1.0 (turbo).
                                                
Pontos positivos: consumo de carro 1.0 e potência de 2.0 (turbo). espaço fantástico. conforto e segurança excelente. estou muito satisfeito.
                                                
Pontos positivos: motor 1.6 16v responde bem, tem o câmbio com engates precisos, suspensão absorve bem as irregularidades da rua, carro silencioso, anda bem e confortável..
                                                
Pontos positivos: agilidade, aceleração, retomada, estabilidade, cambio surpreendente e perfeito. 
                                                
Pontos positivos: espaço interno excelente, conforto total, porta malas de 520 litros, veículo silencioso , motor com ótimo torque, econômico, acredito que custo benefício não tem igual na categoria.
                                                "
"9,2","8,0","9,2","9,6","10,0","9,4","9,6",Volvo,S60,2018,2,"
Pontos positivos: torque, acabamento e exclusividade.
                                                
Pontos positivos: muito gostoso de dirigir e econômico.
                                                
Pontos positivos: acabamento, design, conforto, dirigibilidade, retomada, aceleração.
                                                
Pontos positivos: performance excelente, anda mais que muitos v8, design ultra moderno, acabamento excelente. quanto a manutenção, é preciso acompanhar as revisões, e entender um pouco mecânica, pois o custo pode ficar em 1/3 do valor sugerido pela oficina. bem, o consumo é só um detalhe pra quem compra esse tipo de carro !! 
                                                
Pontos positivos: tudo nele é 10
                                                "
"8,9","10,0","9,2","9,0","9,9","8,0","9,6",Volkswagen,Golf Variant,2018,2,"
Pontos positivos: dirigibilidade, espaço, economia, acabamento, eletrônica embarcada.
                                                
Pontos positivos: são muitos: 07 airbags, controles tração e estabilidade; motor turbo; baixo consumo; sensor de chuva, estacionamento dianteiro e traseiro e crepuscular; paddle shifts; faróis bi-xenon com auxilio em curvas, ajuste do facho e farol alto automático; teto solar panorâmico; porta malas com 605 litros; soft touch no painel; central com mirror link, apple car e android auto e gps; escolha do perfil de condução; estepe com 5ª roda original; start stop do motor; bloqueio do diferencial e auxilio de frenagem; partida sem chave; a/c dual zone com recirculação automática e saída traseira; bancos em couro; aquecimento dos bancos dianteiros com 3 temperaturas; alerta de pressão dos pneus; assistente de partida em rampas; piloto automático, limitador de velocidade e aviso sonoro de velocidade; parafuso antifurto nas rodas; porta luvas refrigerado. quer mais? procure tudo isso em um suv !! eu tentei e desisti !!
                                                
Pontos positivos: design, agilidade do motor em ordem de marcha (para sair da imobilidade o ajuste do acelerador não é dos melhores), porta malas e consumo excepcional.
                                                
Pontos positivos: espaço para bagagem e quatro passageiros bem amplo, conforto, dirigibilidade impressionante, câmbio sem trancos, consumo excelente, tecnologia embarcada.
                                                
Pontos positivos: motor confiável, elástico e com excelente torque. um cambio de 7 marchas espetacular, com trocas imperceptíveis. um consumo muito baixo, quase inacreditável. e se precisar, anda como um verdadeiro carro esportivo.
                                                "
